data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2020-02-24 18:00:00,ITA,101,26,127,94,221,0,221,1,7,,,229,4324,,,,,,,,,
2020-02-25 18:00:00,ITA,114,35,150,162,311,90,93,1,10,,,322,8623,,,,,,,,,
2020-02-26 18:00:00,ITA,128,36,164,221,385,74,78,3,12,,,400,9587,,,,,,,,,
2020-02-27 18:00:00,ITA,248,56,304,284,588,203,250,45,17,,,650,12014,,,,,,,,,
2020-02-28 18:00:00,ITA,345,64,409,412,821,233,238,46,21,,,888,15695,,,,,,,,,
2020-02-29 18:00:00,ITA,401,105,506,543,1049,228,240,50,29,,,1128,18661,,,,,,,,,
2020-03-01 18:00:00,ITA,639,140,779,798,1577,528,566,83,34,,,1694,21127,,,,,,,,,
2020-03-02 18:00:00,ITA,742,166,908,927,1835,258,342,149,52,,,2036,23345,,,,,,,,,
2020-03-03 18:00:00,ITA,1034,229,1263,1000,2263,428,466,160,79,,,2502,25856,,,,,,,,,
2020-03-04 18:00:00,ITA,1346,295,1641,1065,2706,443,587,276,107,,,3089,29837,,,,,,,,,
2020-03-05 18:00:00,ITA,1790,351,2141,1155,3296,590,769,414,148,,,3858,32362,,,,,,,,,
2020-03-06 18:00:00,ITA,2394,462,2856,1060,3916,620,778,523,197,,,4636,36359,,,,,,,,,
2020-03-07 18:00:00,ITA,2651,567,3218,1843,5061,1145,1247,589,233,,,5883,42062,,pd-IT-0003,,,,,,,
2020-03-08 18:00:00,ITA,3557,650,4207,2180,6387,1326,1492,622,366,,,7375,49937,,,,,,,,,
2020-03-09 18:00:00,ITA,4316,733,5049,2936,7985,1598,1797,724,463,,,9172,53826,,,,,,,,,
2020-03-10 18:00:00,ITA,5038,877,5915,2599,8514,529,977,1004,631,,,10149,60761,,pd-IT-0005,,,,,,,
2020-03-11 17:00:00,ITA,5838,1028,6866,3724,10590,2076,2313,1045,827,,,12462,73154,,nd-IT-0002,,,,,,,
2020-03-12 17:00:00,ITA,6650,1153,7803,5036,12839,2249,2651,1258,1016,,,15113,86011,,,,,,,,,
2020-03-13 17:00:00,ITA,7426,1328,8754,6201,14955,2116,2547,1439,1266,,,17660,97488,,,,,,,,,
2020-03-14 17:00:00,ITA,8372,1518,9890,7860,17750,2795,3497,1966,1441,,,21157,109170,,,,,,,,,
2020-03-15 17:00:00,ITA,9663,1672,11335,9268,20603,2853,3590,2335,1809,,,24747,124899,,,,,,,,,
2020-03-16 17:00:00,ITA,11025,1851,12876,10197,23073,2470,3233,2749,2158,,,27980,137962,,nd-IT-0004;nd-IT-0006,,,,,,,
2020-03-17 17:00:00,ITA,12894,2060,14954,11108,26062,2989,3526,2941,2503,,,31506,148657,,nd-IT-0009,,,,,,,
2020-03-18 17:00:00,ITA,14363,2257,16620,12090,28710,2648,4207,4025,2978,,,35713,165541,,nd-IT-0012;nd-IT-0014,,,,,,,
2020-03-19 17:00:00,ITA,15757,2498,18255,14935,33190,4480,5322,4440,3405,,,41035,182777,,,,,,,,,
2020-03-20 17:00:00,ITA,16020,2655,18675,19185,37860,4670,5986,5129,4032,,,47021,206886,,,,,,,,,
2020-03-21 17:00:00,ITA,17708,2857,20565,22116,42681,4821,6557,6072,4825,,,53578,233222,,,,,,,,,
2020-03-22 17:00:00,ITA,19846,3009,22855,23783,46638,3957,5560,7024,5476,,,59138,258402,,,,,,,,,
2020-03-23 17:00:00,ITA,20692,3204,23896,26522,50418,3780,4789,7432,6077,,,63927,275468,,,,,,,,,
2020-03-24 17:00:00,ITA,21937,3396,25333,28697,54030,3612,5249,8326,6820,,,69176,296964,,,,,,,,,
2020-03-25 17:00:00,ITA,23112,3489,26601,30920,57521,3491,5210,9362,7503,,,74386,324445,,,,,,,,,
2020-03-26 17:00:00,ITA,24753,3612,28365,33648,62013,4492,6153,10361,8165,,,80539,361060,,pd-IT-0007,,,,,,,
2020-03-27 17:00:00,ITA,26029,3732,29761,36653,66414,4401,5959,10950,9134,,,86498,394079,,,,,,,,,
2020-03-28 17:00:00,ITA,26676,3856,30532,39533,70065,3651,5974,12384,10023,,,92472,429526,,,,,,,,,
2020-03-29 17:00:00,ITA,27386,3906,31292,42588,73880,3815,5217,13030,10779,,,97689,454030,,pd-IT-0009,,,,,,,
2020-03-30 17:00:00,ITA,27795,3981,31776,43752,75528,1648,4050,14620,11591,,,101739,477359,,,,,,,,,
2020-03-31 17:00:00,ITA,28192,4023,32215,45420,77635,2107,4053,15729,12428,,,105792,506968,,,,,,,,,
2020-04-01 17:00:00,ITA,28403,4035,32438,48134,80572,2937,4782,16847,13155,,,110574,541423,,,,,,,,,
2020-04-02 17:00:00,ITA,28540,4053,32593,50456,83049,2477,4668,18278,13915,,,115242,581232,,,,,,,,,
2020-04-03 17:00:00,ITA,28741,4068,32809,52579,85388,2339,4585,19758,14681,,,119827,619849,,,,,,,,,
2020-04-04 17:00:00,ITA,29010,3994,33004,55270,88274,2886,4805,20996,15362,,,124632,657224,,,,,,,,,
2020-04-05 17:00:00,ITA,28949,3977,32926,58320,91246,2972,4316,21815,15887,,,128948,691461,,,,,,,,,
2020-04-06 17:00:00,ITA,28976,3898,32874,60313,93187,1941,3599,22837,16523,,,132547,721732,,,,,,,,,
2020-04-07 17:00:00,ITA,28718,3792,32510,61557,94067,880,3039,24392,17127,,,135586,755445,,,,,,,,,
2020-04-08 17:00:00,ITA,28485,3693,32178,63084,95262,1195,3836,26491,17669,,,139422,807125,,,,,,,,,
2020-04-09 17:00:00,ITA,28399,3605,32004,64873,96877,1615,4204,28470,18279,,,143626,853369,,,,,,,,,
2020-04-10 17:00:00,ITA,28242,3497,31739,66534,98273,1396,3951,30455,18849,,,147577,906864,,pd-IT-0011,,,,,,,
